datetime,actual
2026-01-01,6490
2026-01-02,9200
2026-01-03,8060
2026-01-04,5696
2026-01-05,7378
2026-01-06,7680
2026-01-07,6253
2026-01-08,8427
2026-01-09,8837
2026-01-10,8001
2026-01-11,5903
2026-01-12,7488
2026-01-13,8275
2026-01-14,8062
2026-01-15,8141
2026-01-16,8752
2026-01-17,6518
2026-01-18,6098
2026-01-19,6526
2026-01-20,7709
2026-01-21,7673
2026-01-22,8004
2026-01-23,8839
2026-01-24,6879
2026-01-25,3531
2026-01-26,2332
2026-01-27,6659
2026-01-28,7980
2026-01-29,8119
2026-01-30,8070
2026-01-31,7647
2026-02-01,5665
2026-02-02,7452
2026-02-03,7799
2026-02-04,7831
2026-02-05,8106
2026-02-06,8698
2026-02-07,6260
2026-02-08,5432
2026-02-09,7004
2026-02-10,7572
2026-02-11,7137
2026-02-12,8592
2026-02-13,9830
2026-02-14,10869
2026-02-15,8622
2026-02-16,8449
2026-02-17,7997
2026-02-18,8453
2026-02-19,8814
2026-02-20,8394
2026-02-21,7123
2026-02-22,6796
2026-02-23,1745
2026-02-24,7586
2026-02-25,6860
2026-02-26,8553
2026-02-27,9444
2026-02-28,9382
2026-03-01,6106
2026-03-02,7678
2026-03-03,7326
2026-03-04,8121
2026-03-05,8566
2026-03-06,7603
2026-03-07,8368
2026-03-08,7643
2026-03-09,8621
2026-03-10,9802
2026-03-11,8472
2026-03-12,8492
2026-03-13,9783
2026-03-14,9167
2026-03-15,7528
2026-03-16,6958
2026-03-17,8637
2026-03-18,8773
2026-03-19,9231
2026-03-20,10260
2026-03-21,10410
2026-03-22,6016
2026-03-23,7633
2026-03-24,8784
2026-03-25,9212
2026-03-26,9430
2026-03-27,10581
2026-03-28,10324
2026-03-29,8474
2026-03-30,9307
2026-03-31,8739
2026-04-01,9438
2026-04-02,9356
2026-04-03,11039
2026-04-04,10650
2026-04-05,7241
2026-04-06,9196
2026-04-07,8666
2026-04-08,10282
2026-04-09,10566
2026-04-10,12156
2026-04-11,11910
2026-04-12,9170
2026-04-13,9580
2026-04-14,10504
2026-04-15,10175
2026-04-16,10869
2026-04-17,12125
2026-04-18,12580
2026-04-19,9096
2026-04-20,11172
2026-04-21,11650
2026-04-22,11368
2026-04-23,12754
2026-04-24,13608
2026-04-25,13502
2026-04-26,10290
2026-04-27,10746
2026-04-28,10845
2026-04-29,10921
2026-04-30,10491
2026-05-01,15618
2026-05-02,15191
2026-05-03,12544
2026-05-04,11791
2026-05-05,12407
2026-05-06,11420
2026-05-07,12759
2026-05-08,14451
2026-05-09,14331
2026-05-10,14194
2026-05-11,12081
2026-05-12,12694
2026-05-13,12466
2026-05-14,13246
2026-05-15,15290
2026-05-16,17917
2026-05-17,16103
2026-05-18,14269
2026-05-19,14970
2026-05-20,15111
2026-05-21,15980
2026-05-22,17541
2026-05-23,18212
2026-05-24,16516
2026-05-25,13815
2026-05-26,14644
2026-05-27,14653
2026-05-28,14764
2026-05-29,15468
2026-05-30,14548
2026-05-31,13675
2026-06-02,14363
2026-06-03,15402
2026-06-04,16729
2026-06-05,17898
2026-06-06,17625
2026-06-07,15039
2026-06-08,15225
2026-06-09,16117
2026-06-10,16227
2026-06-11,17581
2026-06-12,18403
2026-06-13,19303
